Ey,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.12,1500,16000,,,,,,,
-0.04,600,7000,,,,,,,
0.08,1000,10000,,,,,,,
-0.12,1200,12000,,,,,,,
0,500,6000,,,,,,,
0.08,500,6000,,,,,,,
0,600,7000,,,,,,,
0.12,3000,25000,,,,,,,
-0.08,1000,10000,,,,,,,
0.12,1800,20000,,,,,,,
-0.12,600,7000,,,,,,,
-0.04,800,8000,,,,,,,
0.08,800,8000,,,,,,,
-0.16,500,6000,,,,,,,
-0.16,800,8000,,,,,,,
-0.16,3000,25000,,,,,,,
0.12,500,6000,,,,,,,
0,1800,20000,,,,,,,
0.04,3000,25000,,,,,,,
0.16,1000,10000,,,,,,,
0.16,500,6000,,,,,,,
0,3000,25000,,,,,,,
0.12,800,8000,,,,,,,
0.08,300,5000,,,,,,,
0.04,500,6000,,,,,,,
0,1500,16000,,,,,,,
-0.16,1500,16000,,,,,,,
0.16,1800,20000,,,,,,,
-0.16,600,7000,,,,,,,
0.04,1000,10000,,,,,,,
0.04,1500,16000,,,,,,,
0.08,1500,16000,,,,,,,
0.16,300,5000,,,,,,,
0,1000,10000,,,,,,,
0.16,3000,25000,,,,,,,
-0.04,1200,12000,,,,,,,
-0.08,500,6000,,,,,,,
0.04,1200,12000,,,,,,,
-0.12,3000,25000,,,,,,,
-0.08,3000,25000,,,,,,,
-0.12,1000,10000,,,,,,,
-0.04,500,6000,,,,,,,
-0.12,300,5000,,,,,,,
0.16,1500,16000,,,,,,,
0.08,3000,25000,,,,,,,
-0.04,1500,16000,,,,,,,
0.04,300,5000,,,,,,,
-0.16,300,5000,,,,,,,
0.04,800,8000,,,,,,,
-0.08,300,5000,,,,,,,
0,300,5000,,,,,,,
-0.08,1800,20000,,,,,,,
0.16,600,7000,,,,,,,
-0.12,500,6000,,,,,,,
0.08,1800,20000,,,,,,,
-0.16,1800,20000,,,,,,,
0.12,1000,10000,,,,,,,
0.08,600,7000,,,,,,,
-0.08,600,7000,,,,,,,
0,1200,12000,,,,,,,
0.04,1800,20000,,,,,,,
0.12,1200,12000,,,,,,,
0.12,300,5000,,,,,,,
0,800,8000,,,,,,,
-0.12,1800,20000,,,,,,,
-0.04,1000,10000,,,,,,,
0.16,1200,12000,,,,,,,
-0.04,3000,25000,,,,,,,
-0.04,300,5000,,,,,,,
-0.16,1200,12000,,,,,,,
-0.08,1200,12000,,,,,,,
0.08,1200,12000,,,,,,,
0.16,800,8000,,,,,,,
-0.12,800,8000,,,,,,,
-0.08,1500,16000,,,,,,,
-0.08,800,8000,,,,,,,
0.12,600,7000,,,,,,,
0.04,600,7000,,,,,,,
0.12,1500,16000,,,,,,,
-0.16,1000,10000,,,,,,,
-0.04,1800,20000,,,,,,,
