no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
6000,,,,,,,
1500,,,,,,,
2000,,,,,,,
8000,,,,,,,
4000,,,,,,,
22000,,,,,,,
3000,,,,,,,
60000,,,,,,,
40000,,,,,,,
2000,,,,,,,
22000,,,,,,,
15000,,,,,,,
60000,,,,,,,
22000,,,,,,,
1000,,,,,,,
8000,,,,,,,
10000,,,,,,,
12000,,,,,,,
2000,,,,,,,
15000,,,,,,,
30000,,,,,,,
3000,,,,,,,
22000,,,,,,,
2000,,,,,,,
12000,,,,,,,
15000,,,,,,,
15000,,,,,,,
12000,,,,,,,
12000,,,,,,,
1500,,,,,,,
60000,,,,,,,
10000,,,,,,,
40000,,,,,,,
4000,,,,,,,
12000,,,,,,,
3000,,,,,,,
1500,,,,,,,
8000,,,,,,,
1000,,,,,,,
8000,,,,,,,
15000,,,,,,,
30000,,,,,,,
22000,,,,,,,
10000,,,,,,,
60000,,,,,,,
10000,,,,,,,
1500,,,,,,,
40000,,,,,,,
4000,,,,,,,
4000,,,,,,,
40000,,,,,,,
60000,,,,,,,
10000,,,,,,,
30000,,,,,,,
22000,,,,,,,
40000,,,,,,,
30000,,,,,,,
1500,,,,,,,
30000,,,,,,,
10000,,,,,,,
15000,,,,,,,
8000,,,,,,,
2000,,,,,,,
8000,,,,,,,
4000,,,,,,,
8000,,,,,,,
60000,,,,,,,
8000,,,,,,,
15000,,,,,,,
1000,,,,,,,
2000,,,,,,,
40000,,,,,,,
6000,,,,,,,
1000,,,,,,,
15000,,,,,,,
10000,,,,,,,
15000,,,,,,,
15000,,,,,,,
6000,,,,,,,
2000,,,,,,,
8000,,,,,,,
3000,,,,,,,
12000,,,,,,,
6000,,,,,,,
12000,,,,,,,
4000,,,,,,,
1500,,,,,,,
6000,,,,,,,
8000,,,,,,,
1000,,,,,,,
3000,,,,,,,
1000,,,,,,,
4000,,,,,,,
4000,,,,,,,
6000,,,,,,,
4000,,,,,,,
3000,,,,,,,
1000,,,,,,,
3000,,,,,,,
60000,,,,,,,
6000,,,,,,,
30000,,,,,,,
12000,,,,,,,
40000,,,,,,,
6000,,,,,,,
1500,,,,,,,
3000,,,,,,,
40000,,,,,,,
8000,,,,,,,
2000,,,,,,,
40000,,,,,,,
30000,,,,,,,
22000,,,,,,,
8000,,,,,,,
40000,,,,,,,
2000,,,,,,,
12000,,,,,,,
15000,,,,,,,
60000,,,,,,,
60000,,,,,,,
3000,,,,,,,
2000,,,,,,,
60000,,,,,,,
12000,,,,,,,
10000,,,,,,,
4000,,,,,,,
10000,,,,,,,
30000,,,,,,,
4000,,,,,,,
12000,,,,,,,
1500,,,,,,,
6000,,,,,,,
10000,,,,,,,
4000,,,,,,,
2000,,,,,,,
6000,,,,,,,
12000,,,,,,,
22000,,,,,,,
1000,,,,,,,
22000,,,,,,,
22000,,,,,,,
3000,,,,,,,
1500,,,,,,,
12000,,,,,,,
10000,,,,,,,
4000,,,,,,,
22000,,,,,,,
10000,,,,,,,
3000,,,,,,,
3000,,,,,,,
10000,,,,,,,
22000,,,,,,,
1000,,,,,,,
40000,,,,,,,
30000,,,,,,,
40000,,,,,,,
15000,,,,,,,
30000,,,,,,,
10000,,,,,,,
22000,,,,,,,
15000,,,,,,,
1000,,,,,,,
1500,,,,,,,
60000,,,,,,,
6000,,,,,,,
60000,,,,,,,
6000,,,,,,,
6000,,,,,,,
8000,,,,,,,
4000,,,,,,,
3000,,,,,,,
15000,,,,,,,
1500,,,,,,,
1000,,,,,,,
2000,,,,,,,
30000,,,,,,,
6000,,,,,,,
22000,,,,,,,
1500,,,,,,,
2000,,,,,,,
60000,,,,,,,
1000,,,,,,,
12000,,,,,,,
2000,,,,,,,
1000,,,,,,,
40000,,,,,,,
10000,,,,,,,
1000,,,,,,,
4000,,,,,,,
1500,,,,,,,
30000,,,,,,,
2000,,,,,,,
40000,,,,,,,
8000,,,,,,,
15000,,,,,,,
40000,,,,,,,
60000,,,,,,,
12000,,,,,,,
1500,,,,,,,
1000,,,,,,,
30000,,,,,,,
3000,,,,,,,
30000,,,,,,,
30000,,,,,,,
3000,,,,,,,
1500,,,,,,,
22000,,,,,,,
6000,,,,,,,
8000,,,,,,,
60000,,,,,,,
